"A10","A3","A7","B5","B9","C11","C4","C6","D11","E10","F10","F5","G4","H7","fitness"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1347.08096280088
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013.11618257261
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3471.33146067416
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1908.12315270936
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407.48598130841
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1364.0985915493
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1962.56221198157
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1864.53711790393
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379.87916666667
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1376.72614107884
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1392.128
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1399.44943820225
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1344.40239043825
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1379.87346938775
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1394.63821138211
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2099.05785123967
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2545.95256916996
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347.17813765182
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1432.78714859438
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1366.44813278008
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1350.37090163934
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1328.01512287335
0,0,0,0,0,0,0,0,1,0,1,0,0,0,4637.68762278978
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1303.3802559415
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1807.90433212996
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1399.62051282051
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1839.25925925926
0,0,0,0,0,0,0,0,0,0,1,0,0,0,4072.91244239631
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1411.30985915493
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370.68510638298
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1372.04597701149
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1445.97154471545
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1591.62204724409
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1362.87301587302
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2482.77777777778
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1405.70786516854
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1421.91891891892
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1875.03921568627
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1840.41991341991
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1910.88492063492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.24637681159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350.52919708029
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1409.0970464135
1,1,0,0,0,0,0,0,0,0,0,0,0,0,2117.55511811024
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2285.20192307692
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1709.13178294574
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1308.31712062257
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2272.52
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3179.71348314607
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1457.02336448598
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1777.71681415929
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1876.25957446809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375.00858369099
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1365.359375
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1349.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380.04444444444
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1929.15040650407
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347.70695970696
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335.52459016393
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1553.98089171975
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1364.27131782946
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1937.20625
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1329.57971014493
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1386.7358490566
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1328.37166324435
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1324.26948775056
0,1,0,0,1,0,0,0,0,0,0,0,0,0,2068.26990291262
0,0,0,0,0,0,0,1,1,0,0,0,0,0,2818.27613412229
0,0,0,0,0,0,1,0,0,0,1,0,0,0,2384.8
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1526.23428571429
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1386.08737864078
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369.87735849057
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1397.80888888889
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1395.3347826087
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1365.08974358974
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1370.2380952381
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348.00877192982
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2477.39393939394
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1341
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1369.6170212766
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1398.71825396825
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1392.66666666667
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1355.66798418972
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1906.57254901961
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1944.364
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1338.70196078431
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1352.36162361624
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1982.08670520231
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2634.728515625
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1903.69981583794
0,0,0,0,0,0,0,0,1,0,0,0,1,0,2489.31007751938
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296.08333333333
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2970.48913043478
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3089.44736842105
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2280.4652173913
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1381
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1361.01321585903
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1348.71120689655
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1340.87725631769
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1328.93617021277
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357.87866108787
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2177.73880597015
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1363.38721804511
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1913.50793650794
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1353.0622406639
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1876.02016129032
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1634.07885304659
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2224.53937007874
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1352.58883248731
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1310.50684931507
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1507.07063197026
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.89980732177
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1776.64429530201
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1340.12842105263
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1291.95072992701
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1319.3405511811
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1270.39539347409
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341.03535353535
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1354.21698113208
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1366.97716894977
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2323.40454545455
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2249.86086956522
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1327.56223175966
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1340.612
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1359.69230769231
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1351.45217391304
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1354.82677165354
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335.60995850622
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1808.52554744526
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1335.63218390805
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2241.65637065637
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1845.97202797203
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1914.92887029289
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1324.29447852761
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1300.51507537688
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1324.81684981685
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1289.40594059406
0,0,0,0,1,0,0,0,0,0,1,0,0,0,3511.46153846154
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3261.54621848739
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1396.21285140562
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1535.54705882353
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1336.44907407407
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1427.88118811881
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1365.00862068966
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332.16371681416
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2498.72
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1900.36326530612
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1666.50649350649
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1357.37860082305
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322.23936170213
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1353.476
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.73282442748
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2309.2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1811.18623481781
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1871.17570093458
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1311.18855932203
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1274.02669404517
0,0,0,1,0,0,1,0,0,0,0,0,0,0,2117.41910331384
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1341.87005649718
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1337.56701030928
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3073.90952380952
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1351.84897959184
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2900.70588235294
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1878.26771653543
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1314.69465648855
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1338.1106557377
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1326.49003984064
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1373.72764227642
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1301.98412698413
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3180.82572614108
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1328.06944444444
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1301.45059288538
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1413.92883895131
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1366.92885375494
0,0,0,0,0,0,0,0,1,0,0,0,1,0,2652.26579520697
0,0,0,0,0,0,1,0,0,0,1,0,0,0,3293.16822429907
0,0,1,0,0,0,0,0,1,0,0,0,0,0,2794.72222222222
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1630.40298507463
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1834.65985130112
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.41758241758
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1735.2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1547.40528634361
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1312.11520737327
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1376.61354581673
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1317.964
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1783.85169491525
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1327.34926470588
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1345.59920634921
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1317.22362869198
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1381.0390625
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1514.43650793651
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339.89743589744
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1293.31111111111
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2477.35271317829
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1312.52964426877
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1316.69322709163
0,0,0,1,0,0,0,0,0,0,1,0,0,0,2204.13320079523
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2633.06986027944
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1256.62893081761
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1259.59590316574
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1399.78571428571
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1312.28054298643
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1712.71634615385
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1326.94090909091
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1313.51652892562
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3355.89285714286
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1828.7578125
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1858.58536585366
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1311.30708661417
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1307.33846153846
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3545.168
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1322.37944664032
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1313.86055776892
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1924.10714285714
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1856.51893939394
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1308.5140562249
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1338.87795275591
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1820.63802559415
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2317.02867383513
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1262.39460784314
0,0,0,0,0,0,0,0,1,0,0,0,0,1,2533.26503759398
0,0,0,0,1,0,0,0,1,0,0,0,0,0,2417.28102189781
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1343.13294797688
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2963.99530516432
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332.99537037037
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1322.47058823529
0,1,0,0,0,0,0,0,0,0,0,0,0,0,2145.39285714286
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.02118644068
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1351.03488372093
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1283.47843137255
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3192.17903930131
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2332.51968503937
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288.1358490566
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1854.12648221344
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1900
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1909.26984126984
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292.53256704981
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287.66388888889
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2615.6
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1959.54942965779
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1795.17605633803
0,0,1,1,0,0,0,0,0,0,0,0,0,0,2120.37407407407
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1212.67669172932
0,0,0,0,0,0,0,0,1,0,0,0,1,0,4709.52390057361
0,0,0,0,0,0,0,1,0,0,1,0,0,0,4070.89
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1244.89473684211
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.03474903475
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1179.58301158301
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1295.36231884058
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309.02380952381
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328.55357142857
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269.33962264151
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1647.18041237113
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1297.69037656904
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1299.32270916335
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1310.21285140562
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1367.152
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1600.11475409836
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1268.77821011673
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1287.58365758755
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.87984496124
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1295.91287878788
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1754.94615384615
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2143.23643410853
0,0,0,0,1,0,0,0,1,0,0,0,0,0,2539.8996350365
0,0,0,0,0,0,0,1,1,0,0,0,0,0,2587.82011605416
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1745.28962818004
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1648.15399610136
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1299.125
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1347.04455445545
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2211.43414634146
