"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
0,1,0,1,0,1,1,1,0.031
1,1,0,1,0,0,1,1,0.026
1,1,1,0,0,0,1,0,0.061
1,1,0,1,0,0,1,0,0.035
1,1,0,0,0,0,1,1,0.029
1,1,0,0,1,0,1,0,0.03
0,0,1,0,1,1,0,0,0.05
1,0,1,0,0,1,0,0,0.068
0,0,1,0,0,1,1,0,0.067
0,0,1,1,0,1,0,0,0.073
0,0,1,0,0,1,0,1,0.078
0,1,1,0,0,1,0,0,0.068
1,1,1,0,1,0,0,0,0.045
1,1,0,0,1,0,1,0,0.035
1,1,0,0,1,0,0,1,0.052
1,1,0,0,1,1,0,0,0.024
1,1,0,1,1,0,0,0,0.028
0,0,1,0,0,1,1,0,0.069
1,0,1,0,0,0,1,0,0.07
0,0,1,0,1,0,1,0,0.056
0,1,1,0,0,0,1,0,0.07
0,0,1,0,0,0,1,1,0.074
0,0,1,1,0,0,1,0,0.078
0,0,1,0,0,0,1,1,0.072
0,0,1,1,0,0,1,0,0.076
1,0,1,0,0,0,1,0,0.069
0,1,1,0,0,0,1,0,0.068
0,0,1,0,1,0,1,0,0.056
0,0,1,0,0,1,1,0,0.069
1,1,0,1,0,1,1,0,0.029
1,1,0,1,0,1,0,1,0.042
1,1,1,1,0,1,0,0,0.066
1,1,0,1,1,1,0,0,0.026
1,1,1,0,0,0,1,1,0.075
0,1,1,1,0,0,1,1,0.072
0,1,1,0,1,0,1,1,0.062
0,1,1,0,0,1,1,1,0.07
0,0,1,1,1,0,1,0,0.055
0,0,0,1,1,0,1,1,0.058
1,0,0,1,1,0,1,0,0.039
0,1,0,1,1,0,1,0,0.029
0,0,0,1,1,1,1,0,0.03
0,0,1,1,1,0,1,0,0.064
0,1,1,1,0,0,1,0,0.086
1,0,1,1,0,0,1,0,0.072
0,0,1,1,0,1,1,0,0.069
0,0,1,1,0,0,1,1,0.082
0,0,0,1,1,0,0,0,0.031
0,0,1,0,1,0,0,0,0.049
0,0,0,0,1,0,1,0,0.051
1,0,0,0,1,0,0,0,0.032
0,1,0,0,1,0,0,0,0.03
0,0,0,0,1,0,0,1,0.067
0,0,0,0,1,1,0,0,0.026
0,0,1,1,1,0,1,1,0.063
0,0,1,0,1,1,1,1,0.059
1,0,1,0,1,0,1,1,0.061
1,1,0,0,1,1,0,1,0.046
1,1,1,0,0,1,0,1,0.073
1,1,0,1,0,1,0,1,0.046
1,1,0,0,0,1,1,1,0.026
0,0,0,1,1,0,1,1,0.054
1,0,0,0,1,0,1,1,0.046
0,0,0,0,1,1,1,1,0.046
0,1,0,0,1,0,1,1,0.059
1,0,1,1,1,1,1,0,0.044
1,0,1,1,1,0,1,1,0.064
1,1,1,1,1,0,1,0,0.046
1,0,1,0,0,1,0,0,0.072
1,0,0,1,0,1,0,0,0.052
1,0,0,0,0,1,1,0,0.039
1,1,0,0,0,1,0,0,0.062
1,0,0,0,1,1,0,0,0.032
1,0,0,0,0,1,0,1,0.046
0,1,0,1,0,0,0,1,0.038
0,0,1,1,0,0,0,1,0.081
0,0,0,1,1,0,0,1,0.054
1,0,0,1,0,0,0,1,0.044
0,0,0,1,0,1,0,1,0.042
0,0,0,1,0,0,1,1,0.024
1,0,1,1,0,0,0,1,0.078
1,0,0,1,0,0,1,1,0.023
1,0,0,1,1,0,0,1,0.05
1,1,0,1,0,0,0,1,0.038
1,0,0,1,0,1,0,1,0.044
1,0,0,1,0,0,1,0,0.036
1,0,0,0,0,1,1,0,0.05
1,0,0,0,1,0,1,0,0.031
1,1,0,0,0,0,1,0,0.038
1,0,0,0,0,0,1,1,0.024
1,0,1,0,0,0,1,0,0.071
1,0,1,1,1,0,1,0,0.051
1,0,0,1,1,0,1,1,0.05
1,1,0,1,1,0,1,0,0.033
1,0,0,1,1,1,1,0,0.028
0,0,0,0,1,0,1,1,0.052
0,0,0,1,0,0,1,1,0.023
1,0,0,0,0,0,1,1,0.031
0,1,0,0,0,0,1,1,0.026
0,0,1,0,0,0,1,1,0.079
0,0,0,0,0,1,1,1,0.036
0,1,1,0,0,1,0,0,0.066
0,0,1,0,0,1,0,1,0.072
0,0,1,0,1,1,0,0,0.042
0,0,1,0,0,1,1,0,0.064
1,0,1,0,0,1,0,0,0.072
0,0,1,1,0,1,0,0,0.069
1,1,0,1,0,1,1,0,0.027
1,1,0,1,1,1,0,0,0.022
1,1,0,1,0,1,0,1,0.04
1,1,1,1,0,1,0,0,0.064
0,0,1,0,1,0,1,0,0.053
