"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
1,0,1,1,1,0,0,0,0.1535
1,0,1,1,1,0,0,0,0.13875
1,0,1,1,1,1,0,0,0.1535
1,0,1,1,1,1,0,0,0.14195
1,0,1,1,1,1,1,0,0.13
1,0,1,1,1,1,1,0,0.2255
1,0,1,1,1,1,1,0,0.26405
1,0,1,1,1,1,1,1,0.1684
1,0,1,1,1,1,1,1,0.21455
1,0,1,1,1,1,0,1,0.15215
1,0,1,1,1,1,0,1,0.1401
1,0,1,1,1,0,1,0,0.11865
1,0,1,1,1,0,1,0,0.227666666666667
1,0,1,1,1,0,1,0,0.26325
1,0,1,1,1,0,1,1,0.1197
1,0,1,1,1,0,1,1,0.2326
1,0,1,1,1,0,1,1,0.22005
1,0,1,1,1,0,0,1,0.1608
1,0,1,1,1,0,0,1,0.14835
1,0,1,1,0,1,0,0,0.0859
1,0,1,1,0,1,0,0,0.09905
1,0,1,1,0,0,1,0,0.1506
1,0,1,1,0,0,1,0,0.25755
1,0,1,1,0,0,1,0,0.2691
1,0,1,1,0,0,0,1,0.0935
1,0,1,1,0,0,0,1,0.1743
1,0,1,1,0,0,0,1,0.15315
1,0,1,0,1,1,1,0,0.1348
1,0,1,0,1,1,1,0,0.2139
1,0,1,0,1,1,1,0,0.24375
1,0,1,0,1,1,1,1,0.22295
1,0,1,0,1,1,1,1,0.237
1,0,1,0,1,1,0,1,0.1141
1,0,1,0,1,1,0,1,0.10845
1,0,1,0,1,0,1,0,0.1288
1,0,1,0,1,0,1,0,0.2113
1,0,1,0,1,0,1,0,0.25255
1,0,1,0,1,0,1,1,0.1305
1,0,1,0,1,0,1,1,0.2019
1,0,1,0,1,0,1,1,0.2648
1,0,1,0,1,0,0,1,0.074
1,0,1,0,1,0,0,1,0.1183
1,0,1,0,1,0,0,1,0.11545
1,0,1,0,0,1,0,0,0.0032
1,0,1,0,0,1,0,0,0.0038
1,0,1,0,0,1,0,0,0.0537833333333333
1,0,1,0,0,1,1,0,0.2037
1,0,1,0,0,1,1,0,0.2657
1,0,1,0,0,1,1,0,0.26505
1,0,1,0,0,1,0,1,0.111
1,0,1,0,0,1,0,1,0.0856
1,0,1,0,0,1,0,1,0.10245
1,0,1,0,0,0,1,0,0.15415
1,0,1,0,0,0,1,0,0.211475
1,0,1,0,0,0,1,0,0.2692
1,0,0,1,0,0,0,0,0.1161
1,0,0,1,0,0,0,0,0.13555
1,0,0,1,1,0,0,0,0.194
1,0,0,1,1,0,0,0,0.16315
1,0,0,1,1,1,0,0,0.15415
1,0,0,1,1,1,0,0,0.1406
1,0,0,1,1,1,1,0,0.1222
1,0,0,1,1,1,1,0,0.2303
1,0,0,1,1,1,1,0,0.257416666666667
1,0,0,1,1,1,1,1,0.282
1,0,0,1,1,1,1,1,0.27315
1,0,0,1,1,1,0,1,0.16075
1,0,0,1,1,1,0,1,0.1463
1,0,0,1,1,0,1,0,0.11805
1,0,0,1,1,0,1,0,0.2374
1,0,0,1,1,0,1,0,0.27195
1,0,0,1,1,0,1,1,0.1134
1,0,0,1,1,0,1,1,0.2536
1,0,0,1,1,0,1,1,0.25625
1,0,0,1,1,0,0,1,0.0892
1,0,0,1,1,0,0,1,0.1986
1,0,0,1,1,0,0,1,0.15755
1,0,0,1,0,1,0,0,0.0647
1,0,0,1,0,1,0,0,0.0945666666666667
1,0,0,1,0,1,0,0,0.101216666666667
1,0,0,1,0,1,1,0,0.1439
1,0,0,1,0,1,1,0,0.2265
1,0,0,1,0,1,1,0,0.27915
1,0,0,1,0,1,1,1,0.2515
1,0,0,1,0,1,1,1,0.27545
1,0,0,1,0,1,0,1,0.08795
1,0,0,1,0,1,0,1,0.14345
1,0,0,1,0,1,0,1,0.13485
1,0,0,1,0,0,1,0,0.1571
1,0,0,1,0,0,1,0,0.2718
1,0,0,1,0,0,1,0,0.3029
1,0,0,1,0,0,1,1,0.2096
1,0,0,1,0,0,1,1,0.3246
1,0,0,1,0,0,1,1,0.31335
1,0,0,1,0,0,0,1,0.08985
1,0,0,1,0,0,0,1,0.203233333333333
1,0,0,1,0,0,0,1,0.194316666666667
1,0,0,0,1,0,0,0,0.0705
1,0,0,0,1,0,0,0,0.1526
1,0,0,0,1,0,0,0,0.13855
1,0,0,0,1,1,0,0,0.0729
1,0,0,0,1,1,0,0,0.155
1,0,0,0,1,1,0,0,0.13045
1,0,0,0,1,1,1,0,0.1307
1,0,0,0,1,1,1,0,0.2159
1,0,0,0,1,1,1,0,0.2251
1,0,0,0,1,1,1,1,0.2326
1,0,0,0,1,1,1,1,0.2439
1,0,0,0,1,1,1,1,0.23835
1,0,0,0,1,1,0,1,0.0733
1,0,0,0,1,1,0,1,0.1425
1,0,0,0,1,1,0,1,0.12275
1,0,0,0,1,0,1,0,0.11175
1,0,0,0,1,0,1,0,0.2076
1,0,0,0,1,0,1,0,0.20675
1,0,0,0,1,0,1,1,0.1307
1,0,0,0,1,0,1,1,0.2714
1,0,0,0,1,0,1,1,0.29605
1,0,0,0,1,0,0,1,0.0709
1,0,0,0,1,0,0,1,0.134
1,0,0,0,1,0,0,1,0.12985
1,0,0,0,0,1,0,0,0.0026
1,0,0,0,0,1,0,0,0.0041
1,0,0,0,0,1,0,0,0.00505
1,0,0,0,0,1,1,0,0.17555
1,0,0,0,0,1,1,0,0.2837
1,0,0,0,0,1,1,0,0.293175
1,0,0,0,0,1,1,1,0.2033
1,0,0,0,0,1,1,1,0.2955
1,0,0,0,0,1,1,1,0.29155
1,0,0,0,0,1,0,1,0.0832
1,0,0,0,0,1,0,1,0.1236
1,0,0,0,0,1,0,1,0.1323
1,0,0,0,0,0,1,0,0.182033333333333
1,0,0,0,0,0,1,0,0.302866666666667
1,0,0,0,0,0,1,0,0.31225
1,0,0,0,0,0,1,1,0.16475
1,0,0,0,0,0,1,1,0.29705
1,0,0,0,0,0,1,1,0.2951
1,0,0,0,0,0,0,1,0.0818
1,0,0,0,0,0,0,1,0.1412
1,0,0,0,0,0,0,1,0.16975
0,1,0,0,0,0,0,0,0.3199
0,1,0,0,0,0,0,0,0.311075
