community	fun_rep1	fun_rep2	fun_rep3
2,4,5,6,7,8	NA	0.21095	0.2437
2,4,5,7	0.2644	0.35005	0.3284
2,4,5,7,8	0.2251	0.3336	0.29905
2,4,5,8	0.17	0.2903	0.22725
2,4,6	NA	0.1996	0.1706
2,4,6,7	NA	0.2632	0.28525
2,4,6,7,8	0.1848	0.24795	0.26975
2,4,6,8	0.1466	0.23715	0.18995
2,4,7	NA	0.4141	0.4034
2,4,7,8	0.33065	0.377133333333333	0.389216666666667
2,4,8	0.28065	0.3241	0.30075
2,5	0.2123	0.2751	0.24135
2,5,6,7	NA	0.2563	0.25685
2,5,6,7,8	NA	0.261	0.2457
2,5,6,8	0.0973	0.1856	0.14275
2,5,7	0.2551	0.3101	0.33555
2,5,7,8	0.2771	0.3557	0.38995
2,5,8	0.2206	0.2919	0.24095
2,6,7	0.1711	0.2472	0.27825
2,6,7,8	0.3302	0.2806	0.30035
2,6,8	0.1734	0.2283	0.17715
2,7	0.2781	0.36525	0.40315
2,7,8	0.2909	0.3152	0.25375
2,8	0.2959	0.3024	0.31495
3	0.000721212121212118	0.00198888888888889	0.00373888888888889
3,4	0.0614	0.1364	0.13905
3,4,5,6	NA	0.1554	0.13755
3,4,5,6,7	0.1225	0.1755	0.21915
3,4,5,7	0.146766666666667	0.2167	0.22605
3,4,5,7,8	0.1553	0.1975	0.25155
3,4,5,8	0.1024	0.1712	0.14875
3,4,6	0.0692	0.0949	0.12055
3,4,6,7	0.1681	0.2641	0.31125
3,4,6,7,8	NA	0.2468	0.26415
3,4,7	0.164525	0.208425	0.2633
3,4,7,8	0.1767	0.2794	0.27375
3,4,8	0.0764	0.1703	0.16535
3,5	0.1093	0.142	0.12865
3,5,6	0.06975	0.13375	0.13085
3,5,6,7	0.1351	0.2361	0.23215
3,5,6,7,8	0.149733333333333	0.2222	0.236783333333333
3,5,6,8	0.0721	0.1273	0.12025
3,5,7	0.13238	0.20004	0.20507
3,5,7,8	0.1967	0.24862	0.25543
3,5,8	0.07335	0.12095	0.13205
3,6	0.00933333333333333	0.0039	0.0609833333333333
3,6,7	0.23785	0.266133333333333	0.2883
3,6,8	0.06735	0.1103	0.1519
3,7	0.232033333333333	0.269066666666667	0.302133333333333
3,7,8	0.2013	0.262325	0.2778
3,8	0.08375	0.1062	0.09925
4	0.182040625	0.29195	0.2718125
4,5	0.1996	0.274	0.25495
4,5,6	NA	0.16425	0.14625
4,5,6,7	0.1242	0.2679	0.2761
4,5,6,7,8	NA	0.2241	0.20935
4,5,6,8	NA	0.1736	0.14385
4,5,7	0.2365	0.3354	0.36095
4,5,7,8	0.23775	0.36555	0.36615
4,5,8	0.184	0.2855	0.2322
4,6	NA	0.0948	0.11365
4,6,7	0.1602	0.2598	0.2985
4,6,7,8	NA	0.2658	0.29435
4,6,8	0.0869	0.16455	0.1551
4,7	0.28765	0.38585	0.419
4,7,8	0.32465	0.40225	0.34785
4,8	0.2663	0.31865	0.32735
5	0.163848484848485	0.268411111111111	0.227661111111111
5,6	0.0715	0.1568	0.13085
5,6,7	0.1208	0.202	0.23945
5,6,7,8	0.1456	0.2683	0.29815
5,6,8	0.0788	0.1392	0.13645
5,7	0.310825	0.377	0.38785
5,7,8	0.281875	0.392525	0.33265
5,8	0.1656	0.267933333333333	0.217916666666667
6	0.010734375	0.00175	0.0021125
6,7	0.222166666666667	0.299966666666667	0.31455
6,7,8	0.1827	0.28425	0.30555
6,8	0.0797	0.1299	0.14575
7	0.441617647058824	0.49566	0.46461
7,8	0.35185	0.46665	0.403175
8	0.224445454545455	0.147844444444444	0.131905555555556
